time,temperature_2m,relative_humidity_2m
2025-09-26T10:00,20.3,76
2025-09-26T11:00,22.6,67
2025-09-26T12:00,24.8,58
2025-09-26T13:00,27.0,50
2025-09-26T14:00,28.5,44
2025-09-26T15:00,29.1,42
2025-09-26T16:00,28.6,46
2025-09-26T17:00,27.9,50
2025-09-26T18:00,27.1,54
2025-09-26T19:00,26.1,58
2025-09-26T20:00,25.2,62
2025-09-26T21:00,24.4,64
2025-09-26T22:00,23.7,64
2025-09-26T23:00,22.9,66
2025-09-27T00:00,22.0,70
2025-09-27T01:00,21.1,75
2025-09-27T02:00,20.2,77
2025-09-27T03:00,19.3,72
2025-09-27T04:00,18.5,64
2025-09-27T05:00,17.8,57
2025-09-27T06:00,17.0,52
2025-09-27T07:00,16.4,48
2025-09-27T08:00,16.9,44
2025-09-27T09:00,19.2,38
2025-09-27T10:00,22.5,32
2025-09-27T11:00,25.6,27
2025-09-27T12:00,28.0,23
2025-09-27T13:00,30.1,21
2025-09-27T14:00,31.7,19
2025-09-27T15:00,32.8,17
2025-09-27T16:00,33.5,16
2025-09-27T17:00,33.5,17
2025-09-27T18:00,32.4,21
2025-09-27T19:00,30.7,26
2025-09-27T20:00,28.9,32
2025-09-27T21:00,27.1,37
2025-09-27T22:00,25.4,42
2025-09-27T23:00,23.9,46
